"","Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths","state"
"758","South/Southeast Severe Weather & Tornadoes (April 2009)","Severe Storm",20090409,20090410,1744.7,6,"KY"
"759","Midwest, South and East Severe Weather (June 2009)","Severe Storm",20090609,20090612,1620.3,0,"KY"
"760","East/South Flooding and Severe Weather (May 2010)","Flooding",20100430,20100502,2696.8,32,"KY"
"761","Midwest/Southeast Tornadoes (April 2011)","Severe Storm",20110404,20110405,3247.1,9,"KY"
"762","Ohio Valley/South Tornadoes (April 2011)","Severe Storm",20110419,20110420,1213.8,0,"KY"
"763","Southeast/Ohio Valley/Midwest Tornadoes (April 2011)","Severe Storm",20110425,20110428,11959.6,321,"KY"
"764","Midwest/Southeast Tornadoes (May 2011)","Severe Storm",20110522,20110527,10643.3,177,"KY"
"765","Southern Plains/Southwest Drought & Heat Wave (Spring-Summer 2011)","Drought",20110301,20110831,14044.5,95,"KY"
"766","Southeast/Ohio Valley Tornadoes (March 2012)","Severe Storm",20120302,20120303,3535.5,42,"KY"
"767","Midwest/Ohio Valley Severe Weather (April-May 2012)","Severe Storm",20120428,20120501,3702.2,1,"KY"
"768","Plains/East/Northeast Severe Weather (June-July 2012)","Severe Storm",20120629,20120702,3264,28,"KY"
"769","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"KY"
"770","Ohio Valley Tornadoes (November 2013)","Severe Storm",20131117,20131117,1221.5,8,"KY"
"771","Midwest/Southeast/Northeast Winter Storm (January 2014)","Winter Storm",20140105,20140108,2390,16,"KY"
"772","Central and Eastern Winter storm, Cold Wave (February 2015)","Winter Storm",20150214,20150220,3258.4,30,"KY"
"773","Midwest/Ohio Valley Severe Weather (April 2015)","Severe Storm",20150407,20150409,1711.1,2,"KY"
"774","Texas Tornadoes and Midwest Flooding (December 2015)","Severe Storm",20151226,20151229,2158.2,50,"KY"
"775","Plains Tornadoes and Central Severe Weather (May 2016)","Severe Storm",20160508,20160511,1874.5,2,"KY"
"776","Central/Southeast Tornado Outbreak (March 2017)","Severe Storm",20170228,20170301,1914.5,6,"KY"
"777","Southeast Freeze (March 2017)","Freeze",20170314,20170316,1060,0,"KY"
"778","South/Southeast Severe Weather (March 2017)","Severe Storm",20170326,20170328,2856.7,0,"KY"
"779","Missouri and Arkansas Flooding and Central Severe Weather (May 2017)","Flooding",20170425,20170507,1758.5,20,"KY"
"780","Central and Eastern Tornadoes and Severe Weather (July 2018)","Severe Storm",20180719,20180722,1616.7,0,"KY"
"781","Southern Severe Storms and Flooding (April 1980)","Flooding",19800410,19800417,2339.4,7,"LA"
"782","Hurricane Allen (August 1980)","Tropical Cyclone",19800807,19800811,1953,13,"LA"
"783","Central/Eastern Drought/Heatwave (Summer-Fall 1980)","Drought",19800601,19801130,33166.2,1260,"LA"
"784","Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)","Severe Storm",19810505,19810510,1188.2,20,"LA"
"785","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"LA"
"786","Midwest/Plains/Southeast Tornadoes (April 1982)","Severe Storm",19820402,19820404,1319.3,33,"LA"
"787","Gulf States Storms and Flooding (December 1982-January 1983)","Flooding",19821201,19830115,4193.5,45,"LA"
"788","Southeast Drought (Summer 1983)","Drought",19830601,19830831,7795.5,0,"LA"
"789","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"LA"
"790","Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2042,150,"LA"
"791","Hurricane Elena (September 1985)","Tropical Cyclone",19850830,19850903,3165.6,4,"LA"
"792","Hurricane Juan (October 1985)","Tropical Cyclone",19851027,19851031,3651.9,63,"LA"
"793","Southeast Drought/Heatwave (Summer 1986)","Drought",19860601,19860831,4238.6,100,"LA"
"794","U.S. Drought/Heatwave (Summer 1988)","Drought",19880601,19880831,44408.3,454,"LA"
"795","Severe Storms (May 1989)","Severe Storm",19890501,19890506,1169.1,21,"LA"
"796","Winter Storm, Cold Wave (December 1989)","Winter Storm",19891221,19891226,1441.8,100,"LA"
"797","Southern Flooding (May 1990)","Flooding",19900511,19900519,2034,13,"LA"
"798","Severe Storms (March 1992)","Severe Storm",19920324,19920325,1496.1,0,"LA"
"799","Hurricane Andrew (August 1992)","Tropical Cyclone",19920823,19920827,50220,61,"LA"
"800","Southeast Severe Weather (November 1992)","Severe Storm",19921121,19921123,1221.8,26,"LA"
"801","East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,9948.6,270,"LA"
"802","Southeast Ice Storm (February 1994)","Winter Storm",19940208,19940213,5275.8,9,"LA"
"803","South Plains Severe Weather (May 1995)","Severe Storm",19950505,19950507,9381.8,32,"LA"
"804","Western/Eastern Severe Weather and Flooding (Winter-Spring 1998)","Severe Storm",19971201,19980228,1627.3,132,"LA"
"805","Tropical Storm Frances (September 1998)","Tropical Cyclone",19980808,19980813,1113,2,"LA"
"806","Southern Drought/Heat Wave (Summer 1998)","Drought",19980601,19980831,5609.5,200,"LA"
"807","Hurricane Georges (September 1998)","Tropical Cyclone",19980920,19980929,9515.3,16,"LA"
"808","Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1620.7,25,"LA"
"809","Oklahoma and Kansas Tornadoes (May 1999)","Severe Storm",19990503,19990506,3159.1,55,"LA"
"810","Eastern Drought/Heatwave (Summer 1999)","Drought",19990601,19990831,3923.4,502,"LA"
"811","Southeast Winter Storm (January 2000)","Winter Storm",20000121,20000124,1073.1,4,"LA"
"812","Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000)","Drought",20000301,20001130,7595.6,140,"LA"
"813","Tropical Storm Allison (June 2001)","Tropical Cyclone",20010605,20010617,12527.4,43,"LA"
"814","Hurricane Lili (October 2002)","Tropical Cyclone",20020801,20020805,1601.6,2,"LA"
"815","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"LA"
"816","Severe Storms/Hail (April 2003)","Severe Storm",20030404,20030407,2849,3,"LA"
"817","Hurricane Ivan (September 2004)","Tropical Cyclone",20040912,20040921,28495.7,57,"LA"
"818","Hurricane Katrina (August 2005)","Tropical Cyclone",20050825,20050830,168762.2,1833,"LA"
"819","Hurricane Rita (September 2005)","Tropical Cyclone",20050920,20050924,24975.1,119,"LA"
"820","Midwest/Plains/Southeast Drought (Spring-Summer 2006)","Drought",20060301,20060831,7797.3,0,"LA"
"821","East/South Severe Weather and Flooding (April 2007)","Severe Storm",20070413,20070417,3185,9,"LA"
"822","Hurricane Gustav (September 2008)","Tropical Cyclone",20080831,20080903,7316.3,53,"LA"
"823","Hurricane Ike (September 2008)","Tropical Cyclone",20080912,20080914,36598.4,112,"LA"
"824","Midwest/Southeast Tornadoes (March 2009)","Severe Storm",20090325,20090328,2001.4,0,"LA"
"825","Southwest/Great Plains Drought (2009)","Drought",20090101,20091231,4260.3,0,"LA"
"826","Southeast/Ohio Valley/Midwest Tornadoes (April 2011)","Severe Storm",20110425,20110428,11959.6,321,"LA"
"827","Mississippi River flooding (April-May 2011)","Flooding",20110401,20110531,3493.6,7,"LA"
"828","Southern Plains/Southwest Drought & Heat Wave (Spring-Summer 2011)","Drought",20110301,20110831,14044.5,95,"LA"
"829","Tropical Storm Lee (September 2011)","Tropical Cyclone",20110901,20110905,2939.6,21,"LA"
"830","Hurricane Isaac (August 2012)","Tropical Cyclone",20120826,20120831,3122.8,9,"LA"
"831","South/Southeast Severe Weather (April 2015)","Severe Storm",20150418,20150420,1412.3,0,"LA"
"832","Texas and Oklahoma Flooding and Severe Weather (May 2015)","Flooding",20150523,20150526,2750.7,31,"LA"
"833","Southeast and Eastern Tornadoes (February 2016)","Severe Storm",20160222,20160224,1133.6,10,"LA"
"834","Texas and Louisiana Flooding (March 2016)","Flooding",20160308,20160312,2501.3,5,"LA"
"835","Southern Severe Weather (March 2016)","Severe Storm",20160317,20160318,1319.2,1,"LA"
"836","Louisiana Flooding (August 2016)","Flooding",20160812,20160815,10900,13,"LA"
"837","Southern Tornado Outbreak and Western Storms (January 2017)","Severe Storm",20170120,20170122,1171.3,24,"LA"
"838","Missouri and Arkansas Flooding and Central Severe Weather (May 2017)","Flooding",20170425,20170507,1758.5,20,"LA"
"839","Hurricane Harvey (August 2017)","Tropical Cyclone",20170825,20170831,130000,89,"LA"
"840","Southeastern Tornadoes and Severe Weather (March 2018)","Severe Storm",20180318,20180321,1495.7,0,"LA"
"841","Southern and Eastern Tornadoes and Severe Weather (April 2018)","Severe Storm",20180413,20180416,1357.8,3,"LA"
"842","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"ME"
"843","Hurricane Gloria (September 1985)","Tropical Cyclone",19850926,19850928,2089.1,11,"ME"
"844","Winter Storm, Cold Wave (December 1989)","Winter Storm",19891221,19891226,1441.8,100,"ME"
"845","Hurricane Bob (August 1991)","Tropical Cyclone",19910818,19910820,2870.5,18,"ME"
"846","East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,9948.6,270,"ME"
"847","Winter Storm, Cold Wave (January 1994)","Winter Storm",19940117,19940120,1830.3,70,"ME"
"848","Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)","Severe Storm",19970228,19970305,1583.4,67,"ME"
"849","Northeast Ice Storm (January 1998)","Winter Storm",19980105,19980109,2228.8,16,"ME"
"850","Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1620.7,25,"ME"
"851","Central and Eastern Winter Storm (Mid-January 1999)","Winter Storm",19990113,19990116,1384.6,0,"ME"
"852","East/South Severe Weather and Flooding (April 2007)","Severe Storm",20070413,20070417,3185,9,"ME"
"853","Central and Eastern Winter storm, Cold Wave (February 2015)","Winter Storm",20150214,20150220,3258.4,30,"ME"
"854","West/Northeast/Southeast Drought (2016)","Drought",20160101,20161231,3764.1,0,"ME"
"855","Central and Eastern Winter Storm (January 2018)","Winter Storm",20180103,20180105,1084.8,22,"ME"
"856","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"MD"
"857","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"MD"
"858","Tornadoes, Severe Storms, Floods (Spring 1984)","Severe Storm",19840327,19840407,1519.7,80,"MD"
"859","Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2042,150,"MD"
"860","Hurricane Gloria (September 1985)","Tropical Cyclone",19850926,19850928,2089.1,11,"MD"
"861","U.S. Drought/Heatwave (Summer 1988)","Drought",19880601,19880831,44408.3,454,"MD"
"862","Northeast Winter Storm (December 1992)","Winter Storm",19921210,19921213,4618.5,19,"MD"
"863","East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,9948.6,270,"MD"
"864","Southeast Drought/Heat Wave (Summer 1993)","Drought",19930601,19930831,2264.4,16,"MD"
"865","Winter Storm, Cold Wave (January 1994)","Winter Storm",19940117,19940120,1830.3,70,"MD"
"866","Southeast Ice Storm (February 1994)","Winter Storm",19940208,19940213,5275.8,9,"MD"
"867","Blizzard/Floods (January 1996)","Winter Storm",19960101,19960131,5014.9,187,"MD"
"868","Hurricane Fran (September 1996)","Tropical Cyclone",19960905,19960908,8361.7,37,"MD"
"869","Severe Storms, Tornadoes (June 1998)","Severe Storm",19980530,19980602,1810.2,20,"MD"
"870","Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1620.7,25,"MD"
"871","Central and Eastern Winter Storm (Mid-January 1999)","Winter Storm",19990113,19990116,1384.6,0,"MD"
"872","Eastern Drought/Heatwave (Summer 1999)","Drought",19990601,19990831,3923.4,502,"MD"
"873","Hurricane Floyd (September 1999)","Tropical Cyclone",19990914,19990916,10190.8,77,"MD"
"874","Severe Storms and Tornadoes (April 2002)","Severe Storm",20020427,20020428,3036.2,7,"MD"
"875","U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13045.6,0,"MD"
"876","Hurricane Isabel (September 2003)","Tropical Cyclone",20030918,20030919,7787.3,55,"MD"
"877","Hurricane Ivan (September 2004)","Tropical Cyclone",20040912,20040921,28495.7,57,"MD"
"878","Hurricane Jeanne (September 2004)","Tropical Cyclone",20040915,20040929,10420.1,28,"MD"
"879","Northeast Flooding (June 2006)","Flooding",20060625,20060628,1978,20,"MD"
"880","East/South Severe Weather and Flooding (April 2007)","Severe Storm",20070413,20070417,3185,9,"MD"
"881","Western/Eastern Drought/Heatwave (Summer-Fall 2007)","Drought",20070601,20071130,4493.7,15,"MD"
"882","U.S. Drought (2008)","Drought",20080101,20081231,8551.9,0,"MD"
"883","Southeast/Ohio Valley Severe Weather (February 2009)","Severe Storm",20090210,20090211,2123,10,"MD"
"884","Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)","Severe Storm",20100510,20100512,3967.2,3,"MD"
"885","Midwest/Northeast Severe Storms and Flooding (July 2010)","Severe Storm",20100720,20100723,1128.5,0,"MD"
"886","Hurricane Irene (August 2011)","Tropical Cyclone",20110826,20110828,15787.9,45,"MD"
"887","Southern Plains/Southwest Drought & Heat Wave (Spring-Summer 2011)","Drought",20110301,20110831,14044.5,95,"MD"
"888","Tropical Storm Lee (September 2011)","Tropical Cyclone",20110901,20110905,2939.6,21,"MD"
"889","Plains/East/Northeast Severe Weather (June-July 2012)","Severe Storm",20120629,20120702,3264,28,"MD"
"890","Hurricane Sandy (October 2012)","Tropical Cyclone",20121030,20121031,73494.6,159,"MD"
"891","U.S. Drought/Heatwave (2012)","Drought",20120101,20121231,33903.9,123,"MD"
"892","Midwest/Southeast/Northeast Winter Storm (January 2014)","Winter Storm",20140105,20140108,2390,16,"MD"
"893","Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014)","Severe Storm",20140427,20140501,1909.9,33,"MD"
"894","Michigan and Northeast Flooding (August 2014)","Flooding",20140811,20140813,1134.9,2,"MD"
"895","Central and Eastern Winter storm, Cold Wave (February 2015)","Winter Storm",20150214,20150220,3258.4,30,"MD"
"896","Central and Northeast Severe Weather (June 2015)","Severe Storm",20150621,20150625,1289.1,1,"MD"
"897","South Carolina and East Coast Flooding (October 2015)","Flooding",20151001,20151005,2198,25,"MD"
"898","Southeast and Eastern Tornadoes (February 2016)","Severe Storm",20160222,20160224,1133.6,10,"MD"
"899","South/Southeast Tornadoes (April 2016)","Severe Storm",20160426,20160502,2610.2,6,"MD"
"900","Rockies and Northeast Severe Weather (July 2016)","Severe Storm",20160728,20160730,1597.6,0,"MD"
"901","Central/Southeast Tornado Outbreak (March 2017)","Severe Storm",20170228,20170301,1914.5,6,"MD"
"902","Central and Eastern Winter Storm (January 2018)","Winter Storm",20180103,20180105,1084.8,22,"MD"
"903","Northeast Winter Storm (March 2018)","Winter Storm",20180301,20180303,2259.9,9,"MD"
"904","Southern and Eastern Tornadoes and Severe Weather (April 2018)","Severe Storm",20180413,20180416,1357.8,3,"MD"
"905","Central and Eastern Severe Weather (May 2018)","Severe Storm",20180513,20180515,1411.1,5,"MD"
"906","Central and Eastern Tornadoes and Severe Weather (July 2018)","Severe Storm",20180719,20180722,1616.7,0,"MD"
"907","Hurricane Michael (October 2018)","Tropical Cyclone",20181010,20181011,25474.5,49,"MD"
"908","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"MA"
"909","Severe storms (June 1982)","Severe Storm",19820531,19820610,1310.4,30,"MA"
"910","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"MA"
"911","Tornadoes, Severe Storms, Floods (Spring 1984)","Severe Storm",19840327,19840407,1519.7,80,"MA"
"912","Hurricane Gloria (September 1985)","Tropical Cyclone",19850926,19850928,2089.1,11,"MA"
"913","Hurricane Bob (August 1991)","Tropical Cyclone",19910818,19910820,2870.5,18,"MA"
"914","Northeast Winter Storm (December 1992)","Winter Storm",19921210,19921213,4618.5,19,"MA"
"915","East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,9948.6,270,"MA"
"916","Winter Storm, Cold Wave (January 1994)","Winter Storm",19940117,19940120,1830.3,70,"MA"
"917","Southeast Ice Storm (February 1994)","Winter Storm",19940208,19940213,5275.8,9,"MA"
"918","Blizzard/Floods (January 1996)","Winter Storm",19960101,19960131,5014.9,187,"MA"
"919","Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)","Severe Storm",19970228,19970305,1583.4,67,"MA"
"920","Severe Storms, Tornadoes (June 1998)","Severe Storm",19980530,19980602,1810.2,20,"MA"
"921","Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1620.7,25,"MA"
"922","Central and Eastern Winter Storm (Mid-January 1999)","Winter Storm",19990113,19990116,1384.6,0,"MA"
"923","Hurricane Floyd (September 1999)","Tropical Cyclone",19990914,19990916,10190.8,77,"MA"
"924","East/South Severe Weather and Flooding (April 2007)","Severe Storm",20070413,20070417,3185,9,"MA"
"925","Northeast Flooding (March 2010)","Flooding",20100301,20100331,2194.6,11,"MA"
"926","Groundhog Day Blizzard (February 2011)","Winter Storm",20110201,20110203,2099.1,36,"MA"
"927","Hurricane Irene (August 2011)","Tropical Cyclone",20110826,20110828,15787.9,45,"MA"
"928","Hurricane Sandy (October 2012)","Tropical Cyclone",20121030,20121031,73494.6,159,"MA"
"929","Central and Eastern Winter storm, Cold Wave (February 2015)","Winter Storm",20150214,20150220,3258.4,30,"MA"
"930","Southeast and Eastern Tornadoes (February 2016)","Severe Storm",20160222,20160224,1133.6,10,"MA"
"931","West/Northeast/Southeast Drought (2016)","Drought",20160101,20161231,3764.1,0,"MA"
"932","Central and Eastern Winter Storm (January 2018)","Winter Storm",20180103,20180105,1084.8,22,"MA"
"933","Northeast Winter Storm (March 2018)","Winter Storm",20180301,20180303,2259.9,9,"MA"
"934","Central and Eastern Severe Weather (May 2018)","Severe Storm",20180513,20180515,1411.1,5,"MA"
"935","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"MI"
"936","Midwest/Plains/Southeast Tornadoes (April 1982)","Severe Storm",19820402,19820404,1319.3,33,"MI"
"937","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"MI"
"938","Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2042,150,"MI"
"939","U.S. Drought/Heatwave (Summer 1988)","Drought",19880601,19880831,44408.3,454,"MI"
"940","Severe Storms, Tornadoes (March 1991)","Severe Storm",19910326,19910329,1231.9,0,"MI"
"941","Severe Storms, Tornadoes (June 1998)","Severe Storm",19980530,19980602,1810.2,20,"MI"
"942","Central and Eastern Winter Storm (Mid-January 1999)","Winter Storm",19990113,19990116,1384.6,0,"MI"
